0	64.8636372438	0	64.8636372438	0	75.7504507981	0	69.0355632914	0	66.2688517436	0	64.8636372438
7	64.8636372438	7	64.8636372438	7	75.7504507981	7	69.0355632914	7	66.2688517436	7	64.8636372438
14	64.8636372438	14	64.8636372438	14	75.7504507981	14	69.0355632914	14	66.2688517436	14	64.8636372438
21	64.8636372438	21	64.8636372438	21	75.7504507981	21	69.0355632914	21	66.2688517436	21	64.8636372438
28	64.8636372438	28	64.8636372438	28	75.7504507981	28	69.0355632914	28	66.2688517436	28	64.8636372438
35	64.8636372438	35	64.8636372438	35	75.7504507981	35	69.0355632914	35	66.2688517436	35	64.8636372438
42	64.8636372438	42	64.8636372438	42	75.7504507981	42	69.0355632914	42	66.2688517436	42	64.8636372438
49	64.8636372438	49	64.8636372438	49	75.7504507981	49	69.0355632914	49	66.2688517436	49	64.8636372438
56	64.8636372438	56	64.8636372438	56	75.7504507981	56	69.0355632914	56	66.2688517436	56	64.8636372438
63	64.8636372438	63	64.8636372438	63	75.7504507981	63	69.0355632914	63	66.2688517436	63	64.8636372438
70	64.8636372438	70	64.8636372438	70	75.7504507981	70	69.0355632914	70	66.2688517436	70	64.8636372438
77	64.8636372438	77	64.8636372438	77	75.7504507981	77	69.0355632914	77	66.2688517436	77	64.8636372438
84	64.8636372438	84	64.8636372438	84	75.7504507981	84	69.0355632914	84	66.2688517436	84	64.8636372438
91	64.8636372438	91	64.8636372438	91	75.7504507981	91	69.0355632914	91	66.2688517436	91	64.8636372438
98	64.8636372438	98	64.8636372438	98	75.7504507981	98	69.0355632914	98	66.2688517436	98	64.8636372438
105	64.8636372438	105	64.8636372438	105	75.7504507981	105	69.0355632914	105	66.2688517436	105	64.8636372438
112	64.8636372438	112	64.8636372438	112	75.7504507981	112	69.0355632914	112	66.2688517436	112	64.8636372438
119	64.8636372438	119	64.8636372438	119	75.7504507981	119	69.0355632914	119	66.2688517436	119	64.8636372438
126	64.8636372438	126	64.8636372438	126	75.7504507981	126	69.0355632914	126	66.2688517436	126	64.8636372438
133	64.8636372438	133	64.8636372438	133	75.7504507981	133	69.0355632914	133	66.2688517436	133	64.8636372438
140	64.8636372438	140	64.8636372438	140	75.7504507981	140	69.0355632914	140	66.2688517436	140	64.8636372438
147	64.8636372438	147	64.8636372438	147	75.7504507981	147	69.0355632914	147	66.2688517436	147	64.8636372438
154	64.8636372438	154	64.8636372438	154	75.7504507981	154	69.0355632914	154	66.2688517436	154	64.8636372438
161	64.8636372438	161	64.8636372438	161	75.7504507981	161	69.0355632914	161	66.2688517436	161	64.8636372438
168	64.8636372438	168	64.8636372438	168	75.7504507981	168	69.0355632914	168	66.2688517436	168	64.8636372438
