0	64.8636372438	0	64.8636372438	0	64.8636372438	0	64.8636372438	0	64.8636372438	0	62.0026221774
7	64.8636372438	7	64.8636372438	7	64.8636372438	7	64.8636372438	7	64.8636372438	7	62.0026221774
14	64.8636372438	14	64.8636372438	14	64.8636372438	14	64.8636372438	14	64.8636372438	14	62.0026221774
21	64.8636372438	21	64.8636372438	21	64.8636372438	21	64.8636372438	21	64.8636372438	21	62.0026221774
28	64.8636372438	28	64.8636372438	28	64.8636372438	28	64.8636372438	28	64.8636372438	28	62.0026221774
35	64.8636372438	35	64.8636372438	35	64.8636372438	35	64.8636372438	35	64.8636372438	35	62.0026221774
42	64.8636372438	42	64.8636372438	42	64.8636372438	42	64.8636372438	42	64.8636372438	42	62.0026221774
49	64.8636372438	49	64.8636372438	49	64.8636372438	49	64.8636372438	49	63.4420585018	49	62.0026221774
56	64.8636372438	56	64.8636372438	56	64.8636372438	56	64.8636372438	56	63.4420585018	56	62.0026221774
63	64.8636372438	63	64.8636372438	63	64.8636372438	63	64.8636372438	63	62.0026221774	63	62.0026221774
70	64.8636372438	70	64.8636372438	70	64.8636372438	70	64.8636372438	70	62.0026221774	70	62.0026221774
77	64.8636372438	77	64.8636372438	77	64.8636372438	77	64.8636372438	77	62.0026221774	77	62.0026221774
84	64.8636372438	84	64.8636372438	84	64.8636372438	84	64.8636372438	84	62.0026221774	84	62.0026221774
91	64.8636372438	91	64.8636372438	91	64.8636372438	91	64.8636372438	91	62.0026221774	91	62.0026221774
98	64.8636372438	98	64.8636372438	98	64.8636372438	98	63.4420585018	98	62.0026221774	98	62.0026221774
105	64.8636372438	105	64.8636372438	105	64.8636372438	105	63.4420585018	105	62.0026221774	105	62.0026221774
112	64.8636372438	112	64.8636372438	112	64.8636372438	112	62.0026221774	112	62.0026221774	112	62.0026221774
119	64.8636372438	119	64.8636372438	119	64.8636372438	119	62.0026221774	119	62.0026221774	119	62.0026221774
126	64.8636372438	126	64.8636372438	126	63.4420585018	126	62.0026221774	126	62.0026221774	126	62.0026221774
133	64.8636372438	133	64.8636372438	133	63.4420585018	133	62.0026221774	133	62.0026221774	133	62.0026221774
140	64.8636372438	140	64.8636372438	140	62.0026221774	140	62.0026221774	140	62.0026221774	140	62.0026221774
147	64.8636372438	147	64.8636372438	147	62.0026221774	147	62.0026221774	147	62.0026221774	147	62.0026221774
154	64.8636372438	154	64.8636372438	154	62.0026221774	154	62.0026221774	154	62.0026221774	154	62.0026221774
161	64.8636372438	161	64.8636372438	161	62.0026221774	161	62.0026221774	161	62.0026221774	161	62.0026221774
168	64.8636372438	168	64.8636372438	168	62.0026221774	168	62.0026221774	168	62.0026221774	168	62.0026221774
