0	0	112	0	0	112	0	0	113	0	0	118	0	0	131	0	0	157
1	0.1179775281	112	1	0.1176470588	112	1	0.118226601	113	1	0.1178947368	118	1	0.1183932347	131	1	0.118226601	157
2	0.2359550562	111	2	0.2352941176	112	2	0.236453202	113	2	0.2357894737	118	2	0.2367864693	131	2	0.236453202	157
3	0.3539325843	111	3	0.3529411765	112	3	0.354679803	113	3	0.3536842105	118	3	0.355179704	131	3	0.354679803	157
4	0.4719101124	111	4	0.4705882353	112	4	0.4729064039	112.8961	4	0.4715789474	118	4	0.4735729387	131	4	0.4729064039	157
5	0.5898876404	111	5	0.5882352941	112	5	0.5911330049	112.4624	5	0.5894736842	118	5	0.5919661734	131	5	0.5911330049	157
6	0.7078651685	111	6	0.7058823529	112	6	0.7093596059	112	6	0.7073684211	118	6	0.710359408	131	6	0.7093596059	157
7	0.8258426966	111	7	0.8235294118	112	7	0.8275862069	112	7	0.8252631579	118	7	0.8287526427	131	7	0.8275862069	157
8	0.9438202247	111	8	0.9411764706	112	8	0.9458128079	112	8	0.9431578947	118	8	0.9471458774	131	8	0.9458128079	157
9	1.0617977528	111	9	1.0588235294	112	9	1.0640394089	112	9	1.0610526316	118	9	1.0655391121	131	9	1.0640394089	157
10	1.1797752809	111	10	1.1764705882	111.6667	10	1.1822660099	112	10	1.1789473684	118	10	1.1839323467	131	10	1.1822660099	157
11	1.297752809	111	11	1.2941176471	111	11	1.3004926108	112	11	1.2968421053	118	11	1.3023255814	131	11	1.3004926108	157
12	1.4157303371	111	12	1.4117647059	111	12	1.4187192118	112	12	1.4147368421	118	12	1.4207188161	131	12	1.4187192118	157
13	1.5337078652	111	13	1.5294117647	111	13	1.5369458128	112	13	1.5326315789	118	13	1.5391120507	131	13	1.5369458128	156.66362
14	1.6516853933	111	14	1.6470588235	111	14	1.6551724138	112	14	1.6505263158	118	14	1.6575052854	131	14	1.6551724138	156
15	1.7696629213	111	15	1.7647058824	111	15	1.7733990148	112	15	1.7684210526	118	15	1.7758985201	131	15	1.7733990148	156
16	1.8876404494	111	16	1.8823529412	111	16	1.8916256158	112	16	1.8863157895	118	16	1.8942917548	131	16	1.8916256158	156
17	2.0056179775	111	17	2	111	17	2.0098522167	112	17	2.0042105263	118	17	2.0126849894	131	17	2.0098522167	156
18	2.1235955056	111	18	2.1176470588	111	18	2.1280788177	112	18	2.1221052632	118	18	2.1310782241	131	18	2.1280788177	156
19	2.2415730337	111	19	2.2352941176	111	19	2.2463054187	112	19	2.24	118	19	2.2494714588	131	19	2.2463054187	156
20	2.3595505618	111	20	2.3529411765	111	20	2.3645320197	112	20	2.3578947368	118	20	2.3678646934	131	20	2.3645320197	156
21	2.4775280899	111	21	2.4705882353	111	21	2.4827586207	112	21	2.4757894737	118	21	2.4862579281	131	21	2.4827586207	156
22	2.595505618	111	22	2.5882352941	111	22	2.6009852217	112	22	2.5936842105	118	22	2.6046511628	131	22	2.6009852217	156
23	2.7134831461	111	23	2.7058823529	111	23	2.7192118227	112	23	2.7115789474	118	23	2.7230443975	131	23	2.7192118227	156
24	2.8314606742	111	24	2.8235294118	111	24	2.8374384236	112	24	2.8294736842	118	24	2.8414376321	131	24	2.8374384236	156
25	2.9494382022	111	25	2.9411764706	111	25	2.9556650246	112	25	2.9473684211	118	25	2.9598308668	131	25	2.9556650246	156
26	3.0674157303	111	26	3.0588235294	111	26	3.0738916256	112	26	3.0652631579	118	26	3.0782241015	131	26	3.0738916256	156
27	3.1853932584	111	27	3.1764705882	111	27	3.1921182266	112	27	3.1831578947	118	27	3.1966173362	131	27	3.1921182266	156
28	3.3033707865	111	28	3.2941176471	111	28	3.3103448276	112	28	3.3010526316	118	28	3.3150105708	131	28	3.3103448276	156
29	3.4213483146	111	29	3.4117647059	111	29	3.4285714286	112	29	3.4189473684	118	29	3.4334038055	131	29	3.4285714286	156
30	3.5393258427	111	30	3.5294117647	111	30	3.5467980296	112	30	3.5368421053	118	30	3.5517970402	131	30	3.5467980296	156
31	3.6573033708	111	31	3.6470588235	111	31	3.6650246305	112	31	3.6547368421	118	31	3.6701902748	131	31	3.6650246305	156
32	3.7752808989	111	32	3.7647058824	111	32	3.7832512315	112	32	3.7726315789	118	32	3.7885835095	131	32	3.7832512315	156
33	3.893258427	111	33	3.8823529412	111	33	3.9014778325	112	33	3.8905263158	118	33	3.9069767442	131	33	3.9014778325	156
34	4.0112359551	111	34	4	111	34	4.0197044335	112	34	4.0084210526	118.6746	34	4.0253699789	131	34	4.0197044335	156
35	4.1292134831	111	35	4.1176470588	111	35	4.1379310345	112	35	4.1263157895	119	35	4.1437632135	131	35	4.1379310345	156
36	4.2471910112	111	36	4.2352941176	111	36	4.2561576355	112	36	4.2442105263	119	36	4.2621564482	131	36	4.2561576355	156
37	4.3651685393	111	37	4.3529411765	111	37	4.3743842365	112	37	4.3621052632	119	37	4.3805496829	131	37	4.3743842365	156
38	4.4831460674	111	38	4.4705882353	111	38	4.4926108374	112	38	4.48	119	38	4.4989429175	131	38	4.4926108374	156
39	4.6011235955	111	39	4.5882352941	111	39	4.6108374384	112	39	4.5978947368	119	39	4.6173361522	131	39	4.6108374384	156
40	4.7191011236	111	40	4.7058823529	111	40	4.7290640394	112	40	4.7157894737	119	40	4.7357293869	131	40	4.7290640394	156
41	4.8370786517	111	41	4.8235294118	111	41	4.8472906404	112	41	4.8336842105	119	41	4.8541226216	131	41	4.8472906404	156
42	4.9550561798	111	42	4.9411764706	111	42	4.9655172414	112	42	4.9515789474	119	42	4.9725158562	131	42	4.9655172414	156
